,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
258,Nelson Bay,11,AU,1579740182,29,-32.72,152.15,102.99,3.1
267,Manacapuru,78,BR,1579740599,88,-3.3,-60.62,78.8,0.87
271,Srandakan,91,ID,1579740482,83,-7.94,110.25,77.97,2.11
272,Kavieng,0,PG,1579740170,79,-2.57,150.8,83.23,5.47
277,Mitsamiouli,96,KM,1579740212,80,-11.38,43.28,81.48,7.29
280,Cap Malheureux,75,MU,1579740507,94,-19.98,57.61,79.0,4.6
282,Noumea,75,NC,1579740606,43,-22.28,166.46,89.6,6.7
284,Tutoia,97,BR,1579740614,95,-2.76,-42.27,76.03,1.52
289,Huarmey,93,PE,1579740531,72,-10.07,-78.15,73.26,2.39
291,Mayumba,100,GA,1579740214,78,-3.43,10.66,82.87,2.93
301,Pilar,20,BR,1579740223,88,-9.6,-35.96,78.8,2.1
302,Sertania,98,BR,1579740605,61,-8.07,-37.26,78.31,3.53
304,Gizo,71,SB,1579740521,71,-8.1,156.84,81.79,3.31
307,Mutum,35,BR,1579740627,94,-19.8,-41.44,69.13,1.14
311,Bima,3,ID,1579740630,81,-8.47,118.72,78.71,1.27
314,Carnarvon,0,AU,1579740143,53,-24.87,113.63,75.2,8.2
315,Mackay,40,AU,1579740215,59,-21.15,149.2,90.0,5.1
316,Purranque,39,CL,1579740633,72,-40.92,-73.17,62.6,4.6
328,Lismore,75,AU,1579740641,62,-28.81,153.28,87.8,4.6
330,Moerai,81,PF,1579740642,85,-22.43,-151.33,80.47,6.51
332,Salta,40,AR,1579740554,88,-24.79,-65.41,77.0,2.6
333,Moranbah,99,AU,1579740228,52,-22.0,148.05,86.14,3.85
338,Kupang,75,ID,1579739876,100,-10.17,123.58,78.8,1.0
339,Chipinge,10,ZW,1579740647,70,-20.19,32.62,61.95,1.77
345,Ponte Nova,67,BR,1579740651,96,-20.42,-42.91,69.19,1.0
346,Faanui,100,PF,1579740129,75,-16.48,-151.75,82.69,5.99
347,Labuhan,34,ID,1579740125,82,-6.88,112.21,79.18,1.22
353,Kawalu,47,ID,1579740177,88,-7.38,108.21,73.85,0.96
358,Puerto Madryn,13,AR,1579740617,30,-42.77,-65.04,79.09,5.06
366,Bom Jesus do Itabapoana,85,BR,1579740662,99,-21.13,-41.68,67.69,1.19
373,Camocim,96,BR,1579740667,91,-2.9,-40.84,76.21,1.56
375,Lorengau,0,PG,1579740182,77,-2.02,147.27,82.96,5.58
